tiempo(s),A0(V),A1(V)
0.0232,0,0
0.0233,0,0
0.0234,0,0
0.0235,0,0
0.0236,0,0
0.0237,0,0
0.0238,0,0
0.0239,0,0
0.024,0,0
0.0241,0,0
0.0242,0,0
0.0243,0,0
0.0244,0,0
0.0245,0,0
0.0246,0,0
0.0247,0,0
0.0248,0,0
0.0249,0,0
0.025,0,0
0.0251,0,0
0.0252,0,0
0.0253,0,0
0.0254,0,0
0.0255,0,0
0.0256,0,0
0.0257,0,0
0.0258,0,0
0.0259,0,0
0.026,0,0
0.0261,0,0
0.0262,0,0
0.0263,0,0
0.0264,0,0
0.0265,0,0
0.0266,0,0
0.0267,0,0
0.0268,0,0
0.0269,0,0
0.027,0,0
0.0271,0,0
0.0272,0,0
0.0273,0,0
0.0274,0,0
0.0275,0,0
0.0276,0,0
0.0277,0,0
0.0278,0,0
0.0279,0,0
0.028,0,0
0.0281,0,0
0.0282,0,0
0.0283,0,0
0.0284,0,0
0.0285,0,0
0.0286,0,0
0.0287,0,0
0.0288,0,0
0.0289,0,0
0.029,0,0
0.0291,0,0
0.0292,0,0
0.0293,0,0
0.0294,0,0
0.0295,0,0
0.0296,0,0
0.0297,0,0
0.0298,0,0
0.0299,0,0
0.03,0,0
0.0301,0,0
0.0302,0,0
0.0303,0,0
0.0304,0,0
0.0305,0,0
0.0306,0,0
0.0307,0,0
0.0308,0,0
0.0309,0,0
0.031,0,0
0.0311,0,0
0.0312,0,0
0.0313,0,0
0.0314,0,0
0.0315,0,0
0.0316,0,0
0.0317,0,0
0.0318,0,0
0.0319,0,0
0.032,0,0
0.0321,0,0
0.0322,0,0
0.0323,0,0
0.0324,0,0
0.0325,0,0
0.0326,0,0
0.0327,0,0
0.0328,0,0
0.0329,0,0
0.033,0,0
0.0331,0,0
0.0332,2.424,2.424
0.0333,2.424,2.419
0.0334,2.419,2.41
0.0335,2.4,2.405
0.0336,2.4,2.38
0.0337,2.414,2.38
0.0338,2.414,2.375
0.0339,2.41,2.38
0.034,2.419,2.4
0.0341,2.419,2.395
0.0342,2.439,2.414
0.0343,2.444,2.439
0.0344,2.458,2.458
0.0345,2.463,2.439
0.0346,2.434,2.414
0.0347,2.41,2.414
0.0348,2.395,2.424
0.0349,2.38,2.424
0.035,2.38,2.419
0.0351,2.38,2.424
0.0352,2.4,2.449
0.0353,2.414,2.444
0.0354,2.434,2.454
0.0355,2.463,2.463
0.0356,2.463,2.458
0.0357,2.478,2.473
0.0358,2.483,2.463
0.0359,2.478,2.463
0.036,2.483,2.473
0.0361,2.488,2.483
0.0362,2.483,2.468
0.0363,2.463,2.454
0.0364,2.444,2.444
0.0365,2.434,2.444
0.0366,2.439,2.429
0.0367,2.454,2.439
0.0368,2.454,2.439
0.0369,2.434,2.439
0.037,2.439,2.454
0.0371,2.458,2.458
0.0372,2.458,2.463
0.0373,2.463,2.468
0.0374,2.468,2.463
0.0375,2.468,2.458
0.0376,2.463,2.454
0.0377,2.458,2.449
0.0378,2.463,2.454
0.0379,2.468,2.454
0.038,2.458,2.458
0.0381,2.449,2.454
0.0382,2.463,2.468
0.0383,2.463,2.473
0.0384,2.463,2.483
0.0385,2.449,2.478
0.0386,2.454,2.473
0.0387,2.458,2.458
0.0388,2.458,2.454
0.0389,2.444,2.454
0.039,2.439,2.449
0.0391,2.454,2.454
0.0392,2.468,2.439
0.0393,2.454,2.449
0.0394,2.454,2.454
0.0395,2.458,2.454
0.0396,2.449,2.439
0.0397,2.454,2.449
0.0398,2.458,2.463
0.0399,2.463,2.463
0.04,2.454,2.439
0.0401,2.439,2.444
0.0402,2.449,2.458
0.0403,2.454,2.449
0.0404,2.449,2.449
0.0405,2.444,2.454
0.0406,2.439,2.449
0.0407,2.449,2.454
0.0408,2.449,2.444
0.0409,2.439,2.439
0.041,2.439,2.454
0.0411,2.454,2.449
0.0412,2.458,2.444
0.0413,2.439,2.444
0.0414,2.449,2.458
0.0415,2.458,2.458
0.0416,2.463,2.458
0.0417,2.468,2.478
0.0418,2.488,2.498
0.0419,2.507,2.517
0.042,2.512,2.507
0.0421,2.512,2.488
0.0422,2.493,2.473
0.0423,2.468,2.468
0.0424,2.483,2.463
0.0425,2.463,2.424
0.0426,2.439,2.414
0.0427,2.449,2.439
0.0428,2.478,2.454
0.0429,2.488,2.458
0.043,2.488,2.454
0.0431,0.85,0
0.0432,0,0
0.0433,0,0
0.0434,0,0
0.0435,0,0
0.0436,0,0
0.0437,0,0
0.0438,0,0
0.0439,0,0
0.044,0,0
0.0441,0,0
0.0442,0,0
0.0443,0,0
0.0444,0,0
0.0445,0,0
0.0446,0,0
0.0447,0,0
0.0448,0,0
0.0449,0,0
0.045,0,0
0.0451,0,0
0.0452,0,0
0.0453,0,0
0.0454,0,0
0.0455,0,0
0.0456,0,0
0.0457,0,0
0.0458,0,0
0.0459,0,0
0.046,0,0
0.0461,0,0
0.0462,0,0
0.0463,0,0
0.0464,0,0
0.0465,0,0
0.0466,0,0
0.0467,0,0
0.0468,0,0
0.0469,0,0
0.047,0,0
0.0471,0,0
0.0472,0,0
0.0473,0,0
0.0474,0,0
0.0475,0,0
0.0476,0,0
0.0477,0,0
0.0478,0,0
0.0479,0,0
0.048,0,0
0.0481,0,0
0.0482,0,0
0.0483,0,0
0.0484,0,0
0.0485,0,0
0.0486,0,0
0.0487,0,0
0.0488,0,0
0.0489,0,0
0.049,0,0
0.0491,0,0
0.0492,0,0
0.0493,0,0
0.0494,0,0
0.0495,0,0
0.0496,0,0
0.0497,0,0
0.0498,0,0
0.0499,0,0
0.05,0,0
0,0,0
0.0001,0,0
0.0002,0,0
0.0003,0,0
0.0004,0,0
0.0005,0,0
0.0006,0,0
0.0007,0,0
0.0008,0,0
0.0009,0,0
0.001,0,0
0.0011,0,0
0.0012,0,0
0.0013,0,0
0.0014,0,0
0.0015,0,0
0.0016,0,0
0.0017,0,0
0.0018,0,0
0.0019,0,0
0.002,0,0
0.0021,0,0
0.0022,0,0
0.0023,0,0
0.0024,0,0
0.0025,0,0
0.0026,0,0
0.0027,0,0
0.0028,0,0
0.0029,0,0
0.003,0,0
0.0031,0,0
0.0032,0,0
0.0033,0,0
0.0034,0,0
0.0035,0,0
0.0036,0,0
0.0037,0,0
0.0038,0,0
0.0039,0,0
0.004,0,0
0.0041,0,0
0.0042,0,0
0.0043,0,0
0.0044,0,0
0.0045,2.39,2.38
0.0046,2.4,2.4
0.0047,2.41,2.41
0.0048,2.424,2.439
0.0049,2.434,2.439
0.005,2.454,2.444
0.0051,2.463,2.454
0.0052,2.458,2.463
0.0053,2.439,2.439
0.0054,2.424,2.419
0.0055,2.4,2.405
0.0056,2.4,2.424
0.0057,2.405,2.424
0.0058,2.405,2.414
0.0059,2.41,2.414
0.006,2.429,2.414
0.0061,2.414,2.414
0.0062,2.419,2.468
0.0063,2.449,2.468
0.0064,2.458,2.463
0.0065,2.468,2.449
0.0066,2.468,2.463
