t,Va,Vb
-0.02499999851,-2.24,-4.31999969
-0.02497999929,-2.3999999,-4.07999992
-0.02495999821,-2.3199999,-3.43999982
-0.02493999898,-2.3199999,-3.19999981
-0.0249199979,-2.3999999,-2.87999988
-0.02489999868,-2.3999999,-3.11999989
-0.0248799976,-2.48,-2.6399999
-0.02485999838,-2.3999999,-2.48
-0.02483999915,-2.3999999,-2.79999995
-0.02481999807,-2.3999999,-2.5599999
-0.02479999885,-2.3999999,-2.6399999
-0.02477999777,-2.48,-2.5599999
-0.02475999855,-2.3999999,-2.5599999
-0.02473999932,-2.5599999,-2.72000003
-0.02471999824,-2.5599999,-2.3999999
-0.02469999902,-2.48,-2.5599999
-0.02467999794,-2.5599999,-2.3999999
-0.02465999871,-2.3999999,-2.3999999
-0.02463999763,-2.5599999,-2.72000003
-0.02461999841,-2.48,-2.3199999
-0.02459999919,-2.5599999,-2.3999999
-0.02457999811,-2.5599999,-2.79999995
-0.02455999888,-2.5599999,-2.5599999
-0.0245399978,-2.48,-2.6399999
-0.02451999858,-2.48,-2.3199999
-0.02449999936,-2.5599999,-2.6399999
-0.02447999828,-2.48,-2.3199999
-0.02445999905,-2.5599999,-2.6399999
-0.02443999797,-2.5599999,-2.3999999
-0.02441999875,-2.48,-2.48
-0.02439999767,-2.6399999,-2.6399999
-0.02437999845,-2.48,-2.6399999
-0.02435999922,-2.5599999,-2.3999999
-0.02433999814,-2.6399999,-2.6399999
-0.02431999892,-2.48,-2.48
-0.02429999784,-2.5599999,-2.5599999
-0.02427999862,-2.3999999,-2.3999999
-0.02425999939,-2.5599999,-2.6399999
-0.02423999831,-2.5599999,-2.5599999
-0.02421999909,-2.5599999,-2.3999999
-0.02419999801,-2.5599999,-2.6399999
-0.02417999879,-2.48,-2.6399999
-0.0241599977,-2.5599999,-2.3199999
-0.02413999848,-2.48,-2.6399999
-0.02411999926,-2.48,-2.3999999
-0.02409999818,-2.48,-2.6399999
-0.02407999896,-2.3999999,-2.3999999
-0.02405999787,-2.5599999,-2.48
-0.02403999865,-2.48,-2.48
-0.02401999943,-2.3999999,-2.48
-0.02399999835,-2.5599999,-2.5599999
-0.02397999913,-2.48,-2.5599999
-0.02395999804,-2.48,-2.5599999
-0.02393999882,-2.48,-2.3199999
-0.02391999774,-2.48,-2.3999999
-0.02389999852,-2.5599999,-2.5599999
-0.02387999929,-2.3199999,-2.3199999
-0.02385999821,-2.5599999,-2.6399999
-0.02383999899,-2.3999999,-2.6399999
-0.02381999791,-2.3999999,-2.6399999
-0.02379999869,-2.5599999,-2.48
-0.02377999946,-2.3999999,-2.48
-0.02375999838,-2.48,-2.6399999
-0.02373999916,-2.3999999,-2.6399999
-0.02371999808,-2.48,-2.6399999
-0.02369999886,-2.3999999,-2.3999999
-0.02367999777,-2.3999999,-2.48
-0.02365999855,-2.5599999,-2.3199999
-0.02363999933,-2.3999999,-2.3199999
-0.02361999825,-2.48,-2.48
-0.02359999903,-2.48,-2.3999999
-0.02357999794,-2.3999999,-2.3999999
-0.02355999872,-2.48,-2.3999999
-0.02353999764,-2.3999999,-2.1599998
-0.02351999842,-2.5599999,-2.3199999
-0.0234999992,-2.48,-2.6399999
-0.02347999811,-2.3199999,-2.3999999
-0.02345999889,-2.48,-2.3999999
-0.02343999781,-2.3199999,-2.3999999
-0.02341999859,-2.48,-2.3999999
-0.02339999937,-2.3999999,-2.3999999
-0.02337999828,-2.3999999,-2.5599999
-0.02335999906,-2.48,-2.72000003
-0.02333999798,-2.3999999,-2.3199999
-0.02331999876,-2.3999999,-2.48
-0.02329999767,-2.48,-2.3999999
-0.02327999845,-2.48,-2.48
-0.02325999923,-2.3999999,-2.3199999
-0.02323999815,-2.48,-2.48
-0.02321999893,-2.5599999,-2.3999999
-0.02319999784,-2.48,-2.3999999
-0.02317999862,-2.48,-2.3999999
-0.0231599994,-2.48,-2.5599999
-0.02313999832,-2.3999999,-2.3999999
-0.0231199991,-2.5599999,-2.6399999
-0.02309999801,-2.48,-2.3999999
-0.02307999879,-2.48,-2.3999999
-0.02305999771,-2.48,-2.6399999
-0.02303999849,-2.3999999,-2.48
-0.02301999927,-2.3999999,-2.5599999
-0.02299999818,-2.3999999,-2.6399999
-0.02297999896,-2.3999999,-2.6399999
-0.02295999788,-2.3999999,-2.3999999
-0.02293999866,-2.3999999,-2.3999999
-0.02291999944,-2.48,-2.3199999
-0.02289999835,-2.3999999,-2.6399999
-0.02287999913,-2.5599999,-2.48
-0.02285999805,-2.3999999,-2.3999999
-0.02283999883,-2.5599999,-2.5599999
-0.02281999774,-2.48,-2.6399999
-0.02279999852,-2.3999999,-2.48
-0.0227799993,-2.5599999,-2.48
-0.02275999822,-2.48,-2.3999999
-0.022739999,-2.5599999,-2.6399999
-0.02271999791,-2.3999999,-2.5599999
-0.02269999869,-2.3999999,-2.1599998
-0.02267999947,-2.48,-2.3999999
-0.02265999839,-2.48,-2.5599999
-0.02263999917,-2.48,-2.6399999
-0.02261999808,-2.3999999,-2.48
-0.02259999886,-2.3999999,-2.3199999
-0.02257999778,-2.48,-2.72000003
-0.02255999856,-2.3199999,-2.3199999
-0.02253999934,-2.3999999,-2.6399999
-0.02251999825,-2.3999999,-2.5599999
-0.02249999903,-2.48,-2.6399999
-0.02247999795,-2.3999999,-2.3999999
-0.02245999873,-2.3999999,-2.3199999
-0.02243999764,-2.3999999,-2.3999999
-0.02241999842,-2.3999999,-2.3999999
-0.0223999992,-2.3999999,-2.6399999
-0.02237999812,-2.3999999,-2.5599999
-0.0223599989,-2.48,-2.5599999
-0.02233999781,-2.3999999,-2.3199999
-0.02231999859,-2.48,-2.48
-0.02229999937,-2.48,-2.5599999
-0.02227999829,-2.3999999,-2.6399999
-0.02225999907,-2.48,-2.48
-0.02223999798,-2.3999999,-2.6399999
-0.02221999876,-2.3999999,-2.0799999
-0.02219999768,-2.48,-2.72000003
-0.02217999846,-2.3999999,-2.3199999
-0.02215999924,-2.3999999,-2.72000003
-0.02213999815,-2.48,-2.3999999
-0.02211999893,-2.3999999,-2.3999999
-0.02209999785,-2.3999999,-2.3999999
-0.02207999863,-2.48,-2.48
-0.02205999941,-2.3999999,-2.24
-0.02203999832,-2.3999999,-2.5599999
-0.0220199991,-2.3999999,-2.48
-0.02199999802,-2.48,-2.3999999
-0.0219799988,-2.48,-2.48
-0.02195999771,-2.48,-2.48
-0.02193999849,-2.5599999,-2.3999999
-0.02191999927,-2.3999999,-2.5599999
-0.02189999819,-2.48,-2.48
-0.02187999897,-2.48,-2.3999999
-0.02185999788,-2.48,-2.6399999
-0.02183999866,-2.3999999,-2.5599999
-0.02181999944,-2.48,-2.5599999
-0.02179999836,-2.5599999,-2.3999999
-0.02177999914,-2.3999999,-2.5599999
-0.02175999805,-2.5599999,-2.48
-0.02173999883,-2.48,-2.3999999
-0.02171999775,-2.3999999,-2.48
-0.02169999853,-2.48,-2.3199999
-0.02167999931,-2.48,-2.3999999
-0.02165999822,-2.48,-2.72000003
-0.021639999,-2.48,-2.6399999
-0.02161999792,-2.48,-2.3999999
-0.0215999987,-2.5599999,-2.6399999
-0.02157999948,-2.48,-2.5599999
-0.02155999839,-2.3999999,-2.48
-0.02153999917,-2.48,-2.6399999
-0.02151999809,-2.3999999,-2.6399999
-0.02149999887,-2.48,-2.6399999
-0.02147999778,-2.5599999,-2.6399999
-0.02145999856,-2.5599999,-2.5599999
-0.02143999934,-2.5599999,-2.3999999
-0.02141999826,-2.3999999,-2.3999999
-0.02139999904,-2.3999999,-2.3999999
-0.02137999795,-2.3999999,-2.3999999
-0.02135999873,-2.3999999,-2.6399999
-0.02133999951,-2.3999999,-2.3999999
-0.02131999843,-2.48,-2.3999999
-0.02129999921,-2.48,-2.5599999
-0.02127999812,-2.3999999,-2.5599999
-0.0212599989,-2.48,-2.3999999
-0.02123999782,-2.3999999,-2.3999999
-0.0212199986,-2.48,-2.48
-0.02119999938,-2.3999999,-2.3999999
-0.02117999829,-2.48,-2.48
-0.02115999907,-2.3999999,-2.3999999
-0.02113999799,-2.3199999,-2.5599999
-0.02111999877,-2.3999999,-2.3199999
-0.02109999768,-2.3199999,-2.5599999
-0.02107999846,-2.3999999,-2.3999999
-0.02105999924,-2.48,-2.3199999
-0.02103999816,-2.3999999,-2.48
