	galaxia1	galaxiaC1
0	43	72847
1	171	69031
2	218	72882
3	268	660
4	279	878
5	285	1225
6	305	307
7	307	305
8	414	134641
9	474	1956
10	647	5974
11	660	268
12	695	1951
13	701	71775
14	757	1652
15	809	1651
16	878	1665
17	929	3635
18	1001	43
19	1014	73049
20	1130	1218
21	1160	1292
22	1218	1130
23	1225	285
24	1284	3733
25	1292	1160
26	1335	2919
27	1357	1370
28	1370	1357
29	1374	1370
30	1388	1374
31	1440	3710
32	1452	1370
33	1518	708080
34	1525	1160
35	1651	702156
36	1652	1665
37	1665	1652
38	1680	1855
39	1740	2044
40	1745	129238
41	1771	2216
42	1774	268
43	1813	1851
44	1816	129301
45	1851	1813
46	1855	1452
47	1898	1851
48	1924	218
49	1935	938464
50	1951	1952
51	1952	1951
52	1956	474
53	1970	2646
54	1977	198198
55	2000	690285
56	2016	2834
57	2044	2053
58	2052	198825
59	2053	690285
60	2071	1813
61	2081	3853
62	2138	858511
63	2142	2323
64	2216	1771
65	2228	2138
66	2274	1855
67	2323	2142
68	2348	3635
69	2349	2437
70	2436	15599
71	2437	2349
72	2445	2919
73	2464	2323
74	2478	2323
75	2492	2710
76	2555	2557
77	2557	2555
78	2646	1970
79	2675	2081
80	2689	2802
81	2699	3219
82	2710	2689
83	2753	2778
84	2758	2789
85	2778	2753
86	2789	2758
87	2802	2689
88	2805	3572
89	2834	3667
90	2841	3602093
91	2919	127483
92	2980	2984
93	2984	2980
94	3043	4063
95	3051	7399
96	3089	2778
97	3219	2699
98	3250	3768
99	3290	4266
100	3351	5589
101	3416	3602093
102	3429	3080241
103	3526	2492
104	3528	138291
105	3554	73809
106	3559	5363
107	3572	2980
108	3603	3528
109	3608	3839
110	3635	138291
111	3667	5072
112	3710	1440
113	3733	1284
114	3743	1952
115	3757	3429
116	3768	3855
117	3839	3608
118	3848	5341
119	3853	4367
120	3855	3768
121	3926	2228
122	3980	2919
123	4063	4979
124	4099	144017
125	4126	9892
126	4173	4406
127	4211	6039
128	4266	3290
129	4274	4406
130	4367	3853
131	4406	4274
132	4461	4468
133	4468	4461
134	4524	4099
135	4540	3519047
136	4612	4785
137	4661	702156
138	4765	93080
139	4777	5094
140	4785	169787
141	4801	5345
142	4835	4957
143	4862	5345
144	4921	5034
145	4934	73809
146	4946	4973
147	4948	5643
148	4957	4835
149	4973	4946
150	4979	1177254
151	4994	5034
152	5023	5080
153	5034	4994
154	5067	4765
155	5072	5222
156	5080	5148
157	5094	5273
158	5139	5222
159	5147	5218
160	5148	5080
161	5161	4994
162	5193	93080
163	5198	6145
164	5218	5147
165	5222	5232
166	5232	5222
167	5264	5161
168	5273	5281
169	5281	94008
170	5329	5341
171	5341	5581
172	5343	5148
173	5345	4862
174	5354	166861
175	5363	5990
176	5382	5643
177	5441	5766
178	5479	5218
179	5497	5535
180	5535	5497
181	5581	1028168
182	5589	5638
183	5619	6598
184	5634	4948
185	5638	5589
186	5643	5382
187	5663	6228
188	5679	1028168
189	5744	5892
190	5764	3733
191	5766	5441
192	5777	5679
193	5792	5479
194	5794	6402
195	5818	2557
196	5849	6598
197	5892	5744
198	5897	6110
199	5974	6318
200	5990	5363
201	5998	6145
202	6007	6172
203	6015	1013851
204	6039	4211
205	6110	5897
206	6145	5998
207	6147	6172
208	6172	6147
209	6228	5663
210	6249	55293
211	6275	6827
212	6294	7517
213	6318	5974
214	6402	6500
215	6500	6402
216	6513	7978
217	6528	5634
218	6529	6671
219	6562	7505
220	6574	6595
221	6581	3710
222	6595	6574
223	6598	5849
224	6626	6637
225	6637	6671
226	6656	6778
227	6667	6826
228	6671	6637
229	6675	138465
230	6676	2436
231	6690	6719
232	6719	6690
233	6732	6816
234	6778	6656
235	6793	7825
236	6816	6833
237	6826	6667
238	6827	6275
239	6833	6816
240	6848	6816
241	6864	8650
242	6983	87905
243	6993	6500
244	6999	7244
245	7024	6598
246	7045	87900
247	7107	74057
248	7109	87905
249	7244	6999
250	7247	166860
251	7262	6826
252	7324	7109
253	7399	10052
254	7452	3211129
255	7472	5061108
256	7505	6562
257	7517	7525
258	7525	7517
259	7530	1951
260	7544	7262
261	7583	9734
262	7613	169959
263	7654	8232
264	7663	7525
265	7682	8833
266	7819	7663
267	7825	7841
268	7826	7525
269	7841	7825
270	7849	8160
271	7892	7998
272	7978	6513
273	7998	7892
274	8121	166860
275	8160	8332
276	8167	8205
277	8173	8167
278	8205	8167
279	8207	3091794
280	8214	8167
281	8232	7654
282	8279	8549
283	8295	9354
284	8319	8673
285	8332	8160
286	8360	8207
287	8368	8360
288	8397	8673
289	8455	8549
290	8480	3080368
291	8549	8455
292	8557	9332
293	8566	8974
294	8602	8990
295	8631	10329
296	8650	8707
297	8673	8397
298	8678	8691
299	8691	8678
300	8707	8368
301	8833	9485
302	8851	8602
303	8852	9526
304	8896	9054
305	8913	9359
306	8962	9037
307	8974	8566
308	8990	9246
309	9031	9759
310	9037	8962
311	9054	10965
312	9057	9987
313	9126	9545
314	9172	3080368
315	9236	9788
316	9246	8990
317	9272	8962
318	9273	10229
319	9283	9126
320	9332	8557
321	9354	9384
322	9359	8974
323	9384	9354
324	9403	9844
325	9414	9549
326	9485	8833
327	9510	8691
328	9526	8852
329	9539	8566
330	9545	9126
331	9549	9414
332	9559	9545
333	9566	10314
334	9658	9850
335	9665	9899
336	9685	9686
337	9686	9685
338	9734	7583
339	9747	9850
340	9759	10123
341	9788	10051
342	9843	10122
343	9844	10080
344	9846	10010
345	9850	9747
346	9869	10381
347	9888	10127
348	9892	10217
349	9899	10139
350	9987	9057
351	9988	10789
352	9991	9987
353	10010	9846
354	10041	10479
355	10045	10209
356	10051	9788
357	10052	9899
358	10060	1179432
359	10065	10172
360	10080	9844
361	10122	10132
362	10123	10139
363	10127	9888
364	10132	10122
365	10139	10123
366	10172	10010
367	10175	10464
368	10182	9526
369	10208	9126
370	10209	10045
371	10217	9892
372	10229	3642507
373	10266	10329
374	10272	9510
375	10305	1179432
376	10313	908248
377	10314	10586
378	10329	10266
379	10330	132962
380	10381	1179432
381	10464	10175
382	10479	10709
383	10488	10229
384	10496	10854
385	10507	11670
386	10586	10314
387	10588	10496
388	10669	11515
389	10709	10479
390	10789	11245
391	10830	9172
392	10851	11192
393	10854	10496
394	10942	11230
395	10956	11118
396	10965	11798
397	10966	10122
398	10994	908248
399	11016	9685
400	11092	11819
401	11118	10956
402	11156	11252
403	11163	11404
404	11192	10851
405	11202	10172
406	11230	11265
407	11245	10789
408	11248	9549
409	11252	11156
410	11264	908248
411	11265	11230
412	11282	2807112
413	11329	6595
414	11336	11156
415	11352	11515
416	11359	10994
417	11367	145186
418	11368	11521
419	11371	11643
420	11375	1109999
421	11383	12828
422	11397	11609
423	11403	11648
424	11404	11163
