X,V
0.00,6.27
0.10,6.20
0.20,6.37
0.30,6.09
0.40,6.19
0.50,6.41
0.60,6.22
0.70,6.36
0.80,6.33
0.90,6.43
1.00,6.38
1.10,6.22
1.20,6.22
1.30,6.48
1.40,6.41
1.50,6.53
1.60,6.60
1.70,6.57
1.80,6.48
1.90,6.81
2.00,6.99
2.10,6.99
2.20,7.30
2.30,7.76
2.40,8.78
2.50,9.49
2.60,10.39
2.70,11.83
2.80,12.70
2.90,13.84
3.00,14.72
3.10,16.01
3.20,16.72
3.30,17.98
3.40,18.73
3.50,19.35
3.60,20.20
3.70,21.66
3.80,21.79
3.90,22.62
4.00,23.64
4.10,23.63
4.20,23.36
4.30,24.12
4.40,25.11
4.50,24.86
4.60,25.28
4.70,25.06
4.80,23.74
4.90,23.42
5.00,23.33
5.10,23.27
5.20,22.51
5.30,21.80
5.40,21.24
5.50,19.54
5.60,19.00
5.70,18.82
5.80,18.30
5.90,17.37
6.00,16.09
6.10,14.91
6.20,13.81
6.30,13.03
6.40,12.00
6.50,10.94
6.60,9.92
6.70,9.02
6.80,8.03
6.90,7.75
7.00,7.18
7.10,7.09
7.20,6.84
7.30,6.75
7.40,6.54
7.50,6.57
7.60,6.39
7.70,6.53
7.80,6.37
7.90,6.42
8.00,6.43
8.10,6.26
8.20,6.30
8.30,6.29
8.40,6.51
8.50,6.43
8.60,6.19
8.70,6.45
8.80,6.34
8.90,6.59
9.00,6.59
9.10,6.30
9.20,6.57
