X,V
0.00,8.94
0.10,8.75
0.20,8.75
0.30,8.81
0.40,8.97
0.50,8.96
0.60,8.88
0.70,8.92
0.80,8.90
0.90,8.87
1.00,9.00
1.10,9.09
1.20,9.12
1.30,9.12
1.40,9.19
1.50,9.19
1.60,9.17
1.70,9.31
1.80,9.78
1.90,12.07
2.00,15.51
2.10,16.02
2.20,12.96
2.30,9.08
2.40,9.68
2.50,13.75
2.60,25.97
2.70,37.68
2.80,40.59
2.90,31.38
3.00,17.37
3.10,9.86
3.20,15.96
3.30,37.05
3.40,60.48
3.50,71.53
3.60,59.41
3.70,33.61
3.80,11.47
3.90,12.24
4.00,34.27
4.10,74.29
4.20,95.48
4.30,86.04
4.40,51.45
4.50,17.44
4.60,9.88
4.70,28.99
4.80,70.42
4.90,99.82
5.00,98.58
5.10,65.69
5.20,27.07
5.30,9.64
5.40,17.44
5.50,51.47
5.60,81.23
5.70,87.26
5.80,65.86
5.90,32.40
6.00,9.78
6.10,10.18
6.20,29.27
6.30,51.11
6.40,60.94
6.50,50.49
6.60,29.34
6.70,10.73
6.80,9.34
6.90,12.87
7.00,25.27
7.10,31.71
7.20,29.05
7.30,19.58
7.40,10.36
7.50,9.24
7.60,9.22
7.70,9.93
7.80,11.41
7.90,10.94
8.00,9.70
8.10,9.28
8.20,9.10
8.30,9.11
8.40,9.12
8.50,9.07
8.60,9.09
8.70,9.17
8.80,9.00
8.90,9.04
9.00,9.09
9.10,9.22
9.20,9.61
