X,V
1.00,9.12
1.10,9.08
1.20,9.13
1.30,9.06
1.40,9.46
1.50,9.07
1.60,9.32
1.70,9.49
1.80,9.48
1.90,9.07
2.00,9.16
2.10,9.31
2.20,9.15
2.30,9.33
2.40,9.02
2.50,9.12
2.60,9.17
2.70,9.19
2.80,9.18
2.90,9.11
3.00,9.39
3.10,9.27
3.20,9.23
3.30,8.98
3.40,9.38
3.50,9.28
3.60,9.54
3.70,9.39
3.80,9.29
3.90,9.28
4.00,9.76
4.10,9.67
4.20,9.66
4.30,9.80
4.40,10.00
4.50,10.31
4.60,10.41
4.70,11.36
4.80,11.40
4.90,12.38
5.00,12.79
5.10,14.06
5.20,15.52
5.30,16.50
5.40,17.61
5.50,18.65
5.60,19.42
5.70,21.17
5.80,21.26
5.90,22.76
6.00,23.10
6.10,23.51
6.20,24.42
6.30,24.16
6.40,24.59
6.50,25.37
6.60,23.93
6.70,24.17
6.80,24.63
6.90,24.59
7.00,24.34
7.10,24.38
7.20,23.18
7.30,22.64
7.40,21.63
7.50,21.84
7.60,20.29
7.70,19.65
7.80,19.21
7.90,17.98
8.00,16.79
8.10,16.09
8.20,14.32
8.30,13.91
8.40,12.55
8.50,11.87
8.60,11.49
8.70,11.09
8.80,10.39
8.90,10.06
9.00,10.05
9.10,9.89
9.20,9.80
