"V","I"
1.4470,0.00002
1.5030,0.00005
1.7150,0.0233
1.7560,0.0537
1.7900,0.1133
1.8580,0.524
1.8660,0.631
1.8730,0.774
1.8850,0.983
1.8930,1.188
1.8950,1.252
1.9060,1.623
1.9080,1.689
1.9180,2.650
1.0380,0.00001
1.5540,0.0001
1.4990,0.0004
1.5940,0.0043832
1.7180,0.044037
1.7750,0.0845
1.7950,0.1287
1.8250,0.678
1.8770,0.848
1.9010,1.456
1.8990,1.376
1.9030,1.530
1.9050,1.614
1.9110,1.851
1.6760,0.0111
1.6120,0.0032
1.6240,0.0047
1.7450,0.0439
1.7870,0.1085
1.8020,0.1528
1.8170,0.571
1.8670,0.671
1.8090,0.1676
1.8340,0.313
1.8480,0.431
1.8530,0.487
