V,I
1.344,0.0002
1.399,0.0004
1.469,0.0008
1.516,0.0012
1.538,0.0013
1.549,0.0015
1.558,0.0018
1.566,0.0021
1.57,0.0023
1.573,0.0024
1.607,0.0052
1.632,0.0094
1.635,0.0102
1.637,0.0107
1.705,0.0621
1.669,0.024
1.691,0.0427
1.726,0.1075
1.707,0.0854
1.718,0.0883
1.744,0.1676
1.732,0.12588
1.737,0.141
1.766,0.286
1.773,0.346
1.781,0.406
1.796,0.567
1.807,0.711
1.821,0.935
1.813,0.805
1.799,0.601
1.822,0.944
1.826,1.025
1.832,1.141
1.836,1.243
1.841,1.338
1.846,1.462
1.849,1.533
1.853,1.635
1.856,1.755
