px,in
0,1031
1,1052
2,1015
3,1069
4,1039
5,1008
6,1058
7,1048
8,1043
9,1024
10,1046
11,1041
12,1044
13,1034
14,1054
15,1017
16,1051
17,1046
18,1047
19,1061
20,1031
21,1042
22,1029
23,1026
24,1033
25,1046
26,1047
27,1063
28,1063
29,1023
30,1043
31,1062
32,1046
33,1026
34,1032
35,1032
36,1075
37,1021
38,1049
39,1056
40,1050
41,1038
42,1049
43,1049
44,1044
45,1073
46,1035
47,1039
48,1057
49,1034
50,1065
51,1064
52,1072
53,1069
54,1061
55,1065
56,1090
57,1090
58,1113
59,1121
60,1129
61,1187
62,1239
63,1315
64,1541
65,1727
66,1930
67,1880
68,1794
69,1871
70,2000
71,1981
72,1730
73,1509
74,1286
75,1156
76,1125
77,1085
78,1091
79,1079
80,1072
81,1047
82,1067
83,1038
84,1046
85,1066
86,1046
87,1056
88,1061
89,1037
90,1041
91,1033
92,1056
93,1047
94,1069
95,1045
96,1047
97,1026
98,1036
99,1031
100,1019
101,1030
102,1065
103,1052
104,1052
105,1042
106,1017
107,1025
108,1044
109,1054
110,1043
111,1039
112,1061
113,1036
114,1053
115,1022
116,1044
117,1049
118,1060
119,1047
120,1053
121,1044
122,1049
123,1058
124,1046
125,1083
126,1058
127,1111
128,1089
129,1081
130,1098
131,1079
132,1074
133,1111
134,1083
135,1047
136,1054
137,1035
138,1052
139,1044
140,1050
141,1055
142,1052
143,1036
144,1018
145,1023
146,1046
147,1038
148,1044
149,1037
150,1034
151,1035
152,1049
153,1006
154,1035
155,1037
156,1032
157,1045
158,1045
159,1048
160,1027
161,1034
162,1045
163,1063
164,1048
165,1038
166,1029
167,1067
168,1058
169,1020
170,1035
171,1043
172,1036
173,1055
174,1040
175,1028
176,1028
177,1044
178,1042
179,1062
180,1028
181,1036
182,1034
183,1051
184,1043
