px,in
0,1068
1,1065
2,1031
3,1031
4,1029
5,1048
6,1052
7,1061
8,1035
9,1088
10,1050
11,1084
12,1094
13,1093
14,1084
15,1149
16,1174
17,1255
18,1412
19,1726
20,2580
21,2499
22,1669
23,1276
24,1139
25,1072
26,1079
27,1056
28,1064
29,1063
30,1052
31,1051
32,1040
33,1060
34,1049
35,1060
36,1035
37,1048
38,1044
39,1020
40,1066
41,1035
42,1052
43,1024
44,1032
45,1051
46,1043
47,1046
48,1052
49,1044
50,1051
51,1023
52,1047
53,1020
54,1056
55,1051
56,1041
57,1039
58,1048
59,1022
60,1047
61,1044
62,1053
63,1044
64,1023
65,1037
