px,in
0,1019
1,1056
2,1030
3,1048
4,1036
5,1054
6,1066
7,1051
8,1042
9,1058
10,1037
11,1061
12,1056
13,1039
14,1033
15,1057
16,1067
17,1062
18,1060
19,1073
20,1053
21,1060
22,1055
23,1072
24,1073
25,1095
26,1080
27,1104
28,1098
29,1123
30,1128
31,1152
32,1198
33,1231
34,1342
35,1410
36,1516
37,1605
38,1556
39,1543
40,1577
41,1414
42,1335
43,1240
44,1182
45,1141
46,1129
47,1136
48,1100
49,1085
50,1077
51,1095
52,1076
53,1074
54,1053
55,1043
56,1034
57,1048
58,1079
59,1047
60,1062
61,1043
62,1056
63,1058
64,1076
65,1053
66,1056
67,1066
68,1041
69,1034
70,1057
71,1048
72,1053
73,1047
74,1061
75,1063
76,1038
77,1067
78,1040
79,1057
80,1048
81,1033
82,1030
83,1072
84,1063
85,1028
86,1039
87,1037
88,1054
89,1038
90,1064
91,1058
92,1043
93,1033
94,1039
95,1058
96,1029
97,1070
98,1045
99,1046
100,1043
101,1027
102,1023
103,1053
104,1067
105,1060
106,1022
107,1050
108,1051
109,1062
110,1050
111,1053
112,1029
113,1056
114,1057
115,1053
116,1049
117,1041
118,1040
119,1037
120,1067
121,1039
122,1029
123,1034
124,1081
125,1042
126,1032
127,1035
128,1059
129,1049
130,1031
131,1024
132,1036
133,1042
134,1031
135,1050
136,1044
137,1056
138,1037
139,1016
140,1041
141,1056
142,1042
143,1055
144,1032
145,1045
146,1066
147,1031
148,1046
149,1046
150,1037
151,1037
152,1040
153,1051
154,1025
155,1037
156,1035
157,1030
158,1038
159,1043
160,1035
161,1060
162,1061
163,1037
164,1062
165,1054
166,1092
167,1027
168,1021
169,1071
170,1047
171,1024
172,1062
173,1047
174,1038
175,1070
176,1044
177,1021
178,1068
179,1035
180,1043
181,1032
182,1065
183,1058
184,1042
185,1030
186,1038
187,1047
188,1029
189,1033
190,1031
191,1055
192,1040
193,1029
194,1049
195,1048
196,1038
197,1048
198,1043
199,1055
200,1066
201,1071
202,1058
203,1028
204,1046
205,1061
206,1046
207,1063
208,1076
209,1069
210,1115
211,1099
212,1100
213,1098
214,1121
215,1146
216,1162
217,1200
218,1307
219,1433
220,1559
221,1737
222,1878
223,1772
224,1773
225,1598
226,1397
227,1299
228,1210
229,1137
230,1113
231,1111
232,1088
233,1091
234,1097
235,1069
236,1078
237,1066
238,1052
239,1053
240,1045
241,1063
242,1055
243,1050
244,1055
245,1059
246,1028
247,1064
248,1065
249,1054
250,1028
251,1040
252,1054
253,1037
254,1061
255,1026
256,1034
257,1049
258,1049
259,1039
260,1053
261,1047
262,1047
263,1039
264,1030
265,1027
266,1036
267,1048
268,1026
269,1019
270,1046
271,1042
272,1040
273,1061
274,1048
275,1061
276,1041
277,1064
278,1039
279,1036
280,1067
281,1025
282,1048
283,1042
284,1036
285,1042
286,1049
287,1044
288,1051
289,1042
290,1041
291,1031
292,1010
293,1040
294,1027
295,1039
296,1038
297,1029
298,1052
299,1036
300,1070
301,1053
302,1051
303,1030
304,1028
305,1033
306,1069
307,1038
308,1027
309,1052
