px,in
0,1047
1,1065
2,1063
3,1042
4,1070
5,1062
6,1055
7,1054
8,1048
9,1030
10,1052
11,1042
12,1052
13,1029
14,1022
15,1057
16,1056
17,1045
18,1063
19,1058
20,1063
21,1035
22,1067
23,1066
24,1056
25,1036
26,1038
27,1036
28,1028
29,1049
30,1075
31,1052
32,1035
33,1071
34,1059
35,1048
36,1061
37,1048
38,1048
39,1050
40,1051
41,1067
42,1067
43,1053
44,1056
45,1072
46,1086
47,1098
48,1077
49,1121
50,1097
51,1082
52,1138
53,1165
54,1179
55,1181
56,1294
57,1254
58,1431
59,1398
60,1541
61,1566
62,1938
63,1926
64,2544
65,2663
66,4654
67,5746
68,14038
69,27375
70,20344
71,6458
72,1882
73,1254
74,1166
75,1125
76,1104
77,1090
78,1078
79,1084
80,1099
81,1069
82,1062
83,1084
84,1077
85,1078
86,1083
87,1056
88,1053
89,1047
90,1056
91,1048
92,1051
93,1049
94,1012
95,1047
96,1045
97,1066
98,1027
99,1061
100,1034
101,1073
102,1028
