t,f(t)
0,5.9036245937556
0.1,0.519581651696184
0.2,-5.81538478557079
0.3,-9.70935418727692
0.4,-9.12633991250005
0.5,-4.57100429303267
0.6,1.25187576095546
0.7,5.09345254519606
0.8,5.12635371111737
0.9,2.02781926150665
1,-1.47442097785547
1.1,-2.3142881955234
1.2,0.986098189298128
1.3,7.34995789506274
1.4,13.7318870453054
1.5,16.9068328853087
1.6,15.381977191179
1.7,10.2757055273335
1.8,4.63280399517473
1.9,1.59179487192163
2,2.51475992697699
2.1,6.21103313114869
2.2,9.72116839744565
2.3,10.1800979292437
2.4,6.62322105564356
2.5,0.63377226712189
2.6,-4.56678197900425
2.7,-6.03809670284457
2.8,-2.8888917811346
2.9,3.17754642707366
3,8.87165792151598
3.1,11.2703348994442
3.2,9.53343380537468
3.3,5.3479618442535
3.4,1.83639681649226
3.5,1.59750329619449
3.6,5.07394135909019
3.7,10.2419275022027
3.8,13.8150061935221
3.9,13.2339484315243
4,8.23613910336911
4.1,1.05105406966924
4.2,-4.89988658931562
4.3,-7.01500739107319
4.4,-5.02093695956256
4.5,-1.069081567603
4.6,1.63241408889924
4.7,0.81585818409394
4.8,-3.43558133285165
4.9,-8.72279717860795
5,-11.7910910663297
5.1,-10.5295647200794
5.2,-5.29440229622496
5.3,1.2505684792317
5.4,5.68447881859694
5.5,5.83653365499244
5.6,2.03831099697954
5.7,-3.13253386282612
5.8,-6.45668119998485
5.9,-6.04873290256744
6,-2.50349655131707
6.1,1.48265783311854
6.2,2.78415936977944
6.3,-0.205342603893101
6.4,-6.53502046716467
6.5,-13.204616926833
6.6,-16.9160319488786
6.7,-16.0123299850951
6.8,-11.4334666423389
6.9,-6.11339361051164
7,-3.18716253871547
7.1,-4.09674993645687
7.2,-7.74391739003912
7.3,-11.2015211137116
7.4,-11.5477864658834
7.5,-7.70568207573676
7.6,-1.16569544293539
7.7,4.85258177626403
7.8,7.29731023897764
7.9,5.09405288129383
8,-0.22583747662648
8.1,-5.45724280893622
8.2,-7.64815384551691
8.3,-5.85419867629679
8.4,-1.65985913546357
8.5,1.84509162308596
8.6,2.00738513883738
8.7,-1.71370929942473
8.8,-7.35881805908102
8.9,-11.6098748799204
9,-11.7724552771886
9.1,-7.39939040409125
9.2,-0.571865140293189
9.3,5.33328567795349
9.4,7.64489119562594
9.5,5.9574951983819
9.6,2.30911585048036
9.7,-0.125123563013794
9.8,0.975097770957081
9.9,5.61190710864018
10,11.426936460027
10.1,15.1093412997776
10.2,14.4019790970231
10.3,9.48893317725363
10.4,2.92100776416002
10.5,-1.87900606824878
10.6,-2.6293715356688
10.7,0.494621968420879
10.8,5.03386608359341
10.9,7.79672878282169
11,6.8420707358795
11.1,2.68687332811415
11.2,-1.99677830263863
11.3,-4.01252063526558
11.4,-1.60823524686851
11.5,4.41444804484551
11.6,11.126845991705
11.7,15.1826123084264
11.8,14.7789367468635
11.9,10.6860669890934
12,5.72640562143888
12.1,3.0239832118718
12.2,4.08963222414397
12.3,7.90518759717516
12.4,11.5622204497797
12.5,12.0660294409621
12.6,8.20712467822186
12.7,1.36015028016955
12.8,-5.28012397533332
12.9,-8.568461956995
13,-7.25637222394579
13.1,-2.70170565243368
13.2,1.98562275250701
13.3,3.84095448983877
13.4,1.83348736002962
13.5,-2.53781701823729
13.6,-6.19976211841051
13.7,-6.42803325493431
13.8,-2.56599460393845
13.9,3.50945638039329
14,8.46369618588027
14.1,9.47497739741182
14.2,5.90924402849537
14.3,-0.313371480164808
14.4,-5.88096604784384
14.5,-8.07620281259313
14.6,-6.38361064192768
14.7,-2.74645454126333
14.8,-0.322264200415094
14.9,-1.49769115204758
15,-6.37301886102902
15.1,-12.6415872311148
15.2,-16.9425446386806
15.3,-16.8704571179376
15.4,-12.4253156669553
15.5,-6.02415481027746
15.6,-1.06615964483814
15.7,0.081173926752522
15.8,-2.5424255394904
15.9,-6.58172960837867
16,-8.86330532996388
16.1,-7.38400817380499
16.2,-2.57880962079276
16.3,2.90578697707776
16.4,5.79860825587915
16.5,4.19000441842489
16.6,-1.2876313606226
16.7,-7.8031243815665
16.8,-11.9889937162718
16.9,-11.9196619246416
17,-8.21126154206508
17.1,-3.58207036209228
17.2,-1.1461609507144
17.3,-2.4805246049975
17.4,-6.64213101013968
17.5,-10.7336021648358
17.6,-11.6750276831849
17.7,-8.1059774250024
17.8,-1.26105483796796
17.9,5.71650531284749
18,9.6123136516798
18.1,9.02086453837401
18.2,5.13385838402266
18.3,0.964256085901465
18.4,-0.518619584246954
18.5,1.79151261136314
18.6,6.46913711236416
18.7,10.4441852087115
18.8,10.9049738006101
18.9,7.0588112349991
19,0.677295965776882
19.1,-4.91031226662571
19.2,-6.77120277159425
19.3,-4.09119151518181
19.4,1.37452915280668
19.5,6.39156173392755
19.6,8.21376693272944
19.7,6.23402656366522
19.8,2.31825954681405
19.9,-0.376909045702871
20,0.618826611187152
20.1,5.5224948140181
20.2,12.0975402865057
20.3,16.9477835633001
20.4,17.5263329180817
20.5,13.6454317553478
20.6,7.57451919603871
20.7,2.66844181127942
20.8,1.35750744906663
20.9,3.71636974262053
21,7.47601859292062
21.1,9.46652193446014
21.2,7.60948203801512
21.3,2.24543845588641
21.4,-4.01486856013313
21.5,-7.83025774265249
21.6,-7.12974532083351
21.7,-2.36275939650203
21.8,3.75897265139562
21.9,7.87267350238978
22,7.95463154337853
22.1,4.48653497329407
22.2,0.096104071853462
22.3,-2.10389298747635
22.4,-0.464622078572379
22.5,4.14959739571672
22.6,8.85276297514492
22.7,10.4742651853522
22.8,7.48919550519699
22.9,0.970461246689911
23,-6.01715185130658
23.1,-10.217321244773
23.2,-10.090013765424
23.3,-6.67545704916732
23.4,-2.89635567498109
23.5,-1.72749083327471
23.6,-4.34804773886988
23.7,-9.40121709293551
23.8,-13.812347692465
23.9,-14.6697267918303
24,-11.0256532963298
24.1,-4.5221148301187
24.2,1.54305951698139
24.3,4.14871990257226
24.4,2.3154633428494
24.5,-2.36134375455572
24.6,-6.72842113334592
24.7,-8.02007979380668
24.8,-5.54931026956395
24.9,-1.11744554702636
25,2.10547365641524
25.1,1.5480669732888
25.2,-3.14464209732884
25.3,-9.82960209998731
25.4,-15.0970022386102
25.5,-16.2737260391843
