t,f(t)
0,0
0.1,6.91875075
0.2,10.6574862761311
0.3,9.89563621107207
0.4,5.90971031722776
0.5,1.74724431059748
0.6,0.342648610897513
0.7,2.72093569716507
0.8,7.38027752423451
0.9,11.2274429957668
1,11.4964138900892
1.1,7.48250331129023
1.2,1.03496903479003
1.3,-4.49659364137975
1.4,-6.22913874317534
1.5,-3.43912166076443
1.6,2.0403483845906
1.7,6.95527309585182
1.8,8.6083240476081
1.9,6.47825337651467
2,2.50029767228067
2.1,-0.159353633983296
2.2,0.912950315772902
2.3,5.84562927396607
2.4,12.3358030341735
2.5,16.9845323202107
2.6,17.3089381386964
2.7,13.2151161849978
2.8,7.04137388332038
2.9,2.1468111909585
3,0.900800092055659
3.1,3.29053619343591
3.2,6.98734580431933
3.3,8.8263478609291
3.4,6.79598789492897
3.5,1.32444993110372
3.6,-4.92322236033199
3.7,-8.61923702684659
3.8,-7.7672783598966
3.9,-2.90926883611186
4,3.1870510796251
4.1,7.17176249029767
4.2,7.0938589261214
4.3,3.52273151392842
4.4,-0.864594266384255
4.5,-2.97397332554659
4.6,-1.23090544845925
4.7,3.41672029806168
4.8,8.0425155310362
4.9,9.50508181285053
5,6.36253195800328
5.1,-0.223979973525388
5.2,-7.14826962277856
5.3,-11.1835730204227
5.4,-10.8719877367387
5.5,-7.33876405849872
5.6,-3.54367573854237
5.7,-2.42939435957259
5.8,-5.09498302999386
5.9,-10.106075676075
6,-14.3621734976056
6.1,-14.9951494022671
6.2,-11.1457040744768
6.3,-4.53686759740761
6.4,1.50804819130985
6.5,4.01302934186199
6.6,2.0872310846237
6.7,-2.59498585004407
6.8,-6.85762715625834
6.9,-7.98080219813904
7,-5.36229449767405
7.1,-0.874033389586984
7.2,2.301967166382
7.3,1.64953040832928
7.4,-3.09657864535054
7.5,-9.72315387057765
7.6,-14.8126392619721
7.7,-15.7521187241065
7.8,-12.2643502482062
7.9,-6.53701331772815
8,-1.8753093698895
8.1,-0.697118814378624
8.2,-3.08689485819003
8.3,-6.78372595371482
8.4,-8.60738160521594
8.5,-6.45253088393263
8.6,-0.635740569114785
8.7,6.2279703466209
8.8,10.7501679441879
8.9,10.7759320792295
9,6.65952658426286
9.1,1.03771497454361
9.2,-2.76082536920424
9.3,-2.70605660368369
9.4,0.747684475353278
9.5,4.99583837831013
9.6,6.92963650865777
9.7,4.88951916695635
9.8,-0.265103674424445
9.9,-5.6243835283891
10,-7.9554591056152
10.1,-5.64439594566538
10.2,0.323525501212878
10.3,6.9398376802051
10.4,10.9576747209792
10.5,10.8062048005291
10.6,7.47829098131406
10.7,3.85870035642399
10.8,2.90651840838484
10.9,5.80029405790368
11,11.176356822934
11.1,15.9264786124625
11.2,17.0736396069753
11.3,13.5889256164114
11.4,7.04644947364359
11.5,0.716273916936373
11.6,-2.3587071689096
11.7,-1.14078210377199
11.8,2.84215316767125
11.9,6.48756121946853
12,7.05381339935452
12.1,3.8614959897644
12.2,-1.27489124897481
12.3,-5.14840420116624
12.4,-5.1260243847289
12.5,-0.785209763425386
12.6,5.77567158252887
12.7,11.1462389762205
12.8,12.6048180538834
12.9,9.70352739813839
13,4.48221028337885
13.1,0.186693487796144
13.2,-0.727078755389128
13.3,1.91013872141087
13.4,5.89180584284277
13.5,8.00716923130466
13.6,6.03866043833867
13.7,0.169181316749345
13.8,-7.05981002414379
13.9,-12.2200502920343
14,-13.0114517456575
14.1,-9.6037166733152
14.2,-4.49546643091697
14.3,-0.97962531878432
14.4,-1.14753698852433
14.5,-4.64225756167521
14.6,-8.91521811403499
14.7,-10.8268974405404
14.8,-8.61558770101598
14.9,-3.03420005122433
15,3.04062135232683
15.1,6.29591519089305
15.2,4.94798180852028
15.3,-0.202183753993566
15.4,-6.26139927939694
15.5,-9.98536256115095
15.6,-9.71337883678156
15.7,-6.32611054977406
15.8,-2.64980362408238
15.9,-1.67386744340351
16,-4.66907570801415
16.1,-10.3539809949333
16.2,-15.6208005094253
16.3,-17.3850715576415
16.4,-14.4402949963657
16.5,-8.19405716366421
16.6,-1.83876536489086
16.7,1.54213070227952
16.8,0.787452675033079
16.9,-2.70374996013412
17,-5.89070924126556
17.1,-6.00258735534177
17.2,-2.27775985329631
17.3,3.52944091004372
17.4,8.18581912868528
17.5,8.93348762111602
17.6,5.17628091133206
17.7,-1.12584889279268
17.8,-6.59671400760645
17.9,-8.43109088372866
18,-6.02935811822057
18.1,-1.29410888919208
18.2,2.58508426935667
18.3,3.11604034458117
18.4,0.049247075478661
18.5,-4.45640062469915
18.6,-7.14932317847335
18.7,-5.68388984529914
18.8,-0.087370619891474
18.9,7.1984727939008
19,12.7314860156609
19.1,14.0870374900512
19.2,11.2618827656596
19.3,6.61830692274308
19.4,3.40751788485074
19.5,3.77181204271129
19.6,7.43960275855342
19.7,11.9053214337877
19.8,13.9836592342214
19.9,11.7922490278021
20,5.95556783731104
20.1,-0.705789115561615
20.2,-4.81808643146296
20.3,-4.43915851206972
20.4,-0.186479891171566
20.5,5.17120479702209
20.6,8.40796249795201
20.7,7.79156506917227
20.8,4.10835534392286
20.9,0.142753362567096
21,-1.06895353304691
21.1,1.85384138807999
21.2,7.73019311715754
21.3,13.4690636392989
21.4,15.8887993441355
21.5,13.605979311476
21.6,7.85162608121487
21.7,1.72180232016844
