t,f(t)
0,2.37259554222692
0.1,5.02996670606057
0.2,8.69675734884968
0.3,5.49107465272195
0.4,-0.032080379122469
0.5,-5.28711091858596
0.6,-8.16088725188234
0.7,-1.7535339460062
0.8,1.74659313144016
0.9,4.40216187954137
1,7.78151629106777
1.1,5.83601595691118
1.2,-2.32416737095629
1.3,-6.51511804850359
1.4,-6.81450279225483
1.5,-5.12474655374375
1.6,2.39750237695326
1.7,6.75477718095404
1.8,6.93897585648823
1.9,4.45838762484733
2,-0.647679812951186
2.1,-5.34894258626319
2.2,-6.85389612506497
2.3,-2.874874689582
2.4,2.56385429181862
2.5,5.87333880199487
2.6,8.4459271481719
2.7,3.1166528680346
2.8,-2.06629106493631
2.9,-5.09524618114539
3,-7.45564685831449
3.1,-1.35926327968767
3.2,2.34969685085239
3.3,6.72569218018204
3.4,7.96797260264995
3.5,2.93440058409601
3.6,-1.79110634724201
3.7,-7.27400000301216
3.8,-6.22897752587409
3.9,-0.085916931994801
4,3.16521697212574
4.1,6.93033370671501
4.2,5.98519429104504
4.3,2.38713607774505
4.4,-3.10229173983871
4.5,-7.71905333695885
4.6,-5.91886500348257
4.7,1.22481958535451
4.8,4.1722427237705
4.9,7.97802986417394
5,6.47852316779223
5.1,0.80720873873158
5.2,-4.0074309571851
5.3,-5.46216782827647
5.4,-4.22889149551674
5.5,-0.988836761720476
5.6,3.781520730274
5.7,8.98152340472422
5.8,4.88148287976839
5.9,-0.691451390776004
6,-3.39241238012745
6.1,-7.61797762968445
6.2,-5.96845852992326
6.3,1.16886168220611
6.4,6.3164365475138
6.5,6.93344873737446
6.6,3.38690264215539
6.7,1.27106291057901
6.8,-4.10468658392614
6.9,-6.84973830783983
7,-4.27720314092352
7.1,3.16872045365893
7.2,7.46984467417986
7.3,8.22491424769089
7.4,3.58437476239016
7.5,-2.24908807809754
7.6,-6.55136726840373
7.7,-5.65611080951115
7.8,-4.21306962343166
7.9,3.19950318842845
8,8.02668075616604
8.1,6.77747354419455
8.2,3.45325667306042
8.3,-1.91187423298814
8.4,-6.45020491140561
8.5,-4.118267084387
8.6,-2.94769055109793
8.7,4.18762616606963
8.8,4.93230839488828
8.9,5.37741555686158
9,1.44829139152212
9.1,-2.80895622691116
9.2,-6.6731949862181
9.3,-3.15270832916562
9.4,-0.92267126542063
9.5,5.57560186180168
9.6,7.10343807037693
9.7,4.69738846748136
9.8,0.964363179418294
9.9,-3.72063512109378
10,-8.11380194378191
10.1,-5.79599569616334
10.2,0.101491670119973
10.3,5.34454201533062
10.4,7.00165587833301
10.5,4.9543584568216
10.6,-1.34110758762523
10.7,-2.12952250075512
10.8,-7.06059840593715
10.9,-3.7919356278662
11,-0.588899826974379
11.1,6.23206466992034
11.2,8.88402274841701
11.3,6.79206752666374
11.4,-1.61365433940546
11.5,-4.95617962789042
11.6,-6.16044686225118
11.7,-3.80164049502895
11.8,1.54423426079693
11.9,4.57990367467632
12,7.77209866098319
12.1,5.716938741876
12.2,-2.43191478569337
12.3,-5.55603844475795
12.4,-7.81599752242978
12.5,-3.97003181865233
12.6,3.35665237552664
12.7,7.43851168900763
12.8,5.77179492488352
12.9,3.76928958239838
13,-2.73040995728408
13.1,-5.10601071770621
13.2,-7.9229862717275
13.3,-2.18528089956111
13.4,0.981478121179464
13.5,5.83868202501421
13.6,7.62397790543074
13.7,1.14725020583879
13.8,-0.915514375456155
13.9,-7.07878443228575
14,-4.02651289312051
14.1,-0.309477205915444
14.2,4.43683329946447
14.3,7.73064555130869
14.4,6.37431258756345
14.5,0.886648272531435
14.6,-1.73316948104278
14.7,-6.27210139828424
14.8,-5.20977377895679
14.9,-0.407226233180476
15,4.82143305770269
15.1,7.89381010932526
15.2,4.67276646154126
15.3,3.67071948810319
15.4,-3.63540753398029
15.5,-6.82075701670085
15.6,-5.95568067265059
15.7,-1.64625229244418
15.8,3.56667251769356
15.9,6.54006859527055
16,3.7088336015617
16.1,0.853269450188527
16.2,-5.02904162281172
16.3,-7.73414537021912
16.4,-4.5569459742603
16.5,1.74130011995486
16.6,4.01525228913088
16.7,7.47767432641292
16.8,6.51952320435798
16.9,-1.74832170352991
17,-6.80659900729791
17.1,-7.76112146311677
17.2,-3.9255175898929
17.3,0.329093390516874
17.4,5.56526142382541
17.5,7.42375846329802
17.6,2.68873713705675
17.7,1.29641321341925
17.8,-4.918523334903
17.9,-5.53868006103231
18,-2.56709444766539
18.1,3.66537409078329
18.2,8.37941040281009
18.3,7.13269595045377
18.4,3.5418408106583
18.5,0.474391654862082
18.6,-4.51007937995314
18.7,-6.14002702050491
18.8,-0.907805587541092
18.9,2.93489841681736
19,6.21842024377754
19.1,6.66824704053875
19.2,2.49337406217741
19.3,-3.42251763050465
19.4,-8.30630800953231
19.5,-5.01528300018444
19.6,-0.303934884106691
19.7,2.45372226215918
19.8,6.75488545448407
19.9,6.30204045372808
20,0.41147343047866
20.1,-2.38314709471413
20.2,-6.81564863302852
20.3,-3.05505179695055
20.4,-1.11193399583165
20.5,5.48374675889432
20.6,8.91518181518331
20.7,5.70621108058635
20.8,0.848408169164941
20.9,-3.7155986268833
21,-6.86648932858512
21.1,-5.11170331243209
21.2,1.22362010816548
21.3,6.80794860958609
21.4,7.54490807591747
21.5,6.20848698056342
21.6,0.934534288681017
21.7,-4.82205615425141
21.8,-6.69075340757077
21.9,-5.00049150915731
22,-0.997289629865456
22.1,4.52253129603346
22.2,5.55627971985473
22.3,3.86142105831401
22.4,0.73006932123952
22.5,-4.43542367628942
22.6,-5.49356767501263
22.7,-2.6054015260683
22.8,0.884612975116052
22.9,6.18103616736038
